pid;model;price;country_code;country;region;income group;scraped_date
0;iPhone 13;From A$1,199;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
1;iPhone SE;From A$679;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
2;iPhone 12;From A$999;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
3;AirPods(3rd generation);279A$;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
4;AirPods Pro;399A$;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
5;AirPods(2nd generation);219A$;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
6;AirPods Max;899A$;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
7;Apple TV 4K;249A$;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
9;Apple Watch SE;From A$429;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
10;Apple Watch Series 3;From A$299;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
11;Sport Band;69A$;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
12;iPad;From A$499;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
13;iPad Pro;From A$1,199;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
14;Apple Pencil (2nd generation);199A$;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
15;24-inch iMac²;From A$1,899;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
16;MacBook Air;From A$1,499;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
17;Magic Mouse;109A$;au;Australia;East Asia & Pacific;High income;2022-01-02 21:52:06.630535
0;iPhone 13;Ab 799 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
1;iPhone SE;Ab 479 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
2;iPhone 12;Ab 679 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
3;AirPods(3. Generation);199,00 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
4;AirPods Pro;279,00 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
5;AirPods(2. Generation);149,00 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
6;AirPods Max;629,00 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
7;Apple TV 4K;199,00 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
8;Apple TV HD;159,00 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
9;Apple Watch SE;Ab 299 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
10;Apple Watch Series 3;Ab 219 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
11;Sportarmband;49,00 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
12;iPad;Ab 379 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
13;iPad Pro;Ab 879 €;at;Austria;Europe & Central Asia;High income;2022-01-02 21:52:07.703491
