pid;model;price;country_code;country;region;income group;scraped_date
11;Sportovní řemínek;1 290 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
12;iPad;Od 9 990 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
13;iPad Pro;Od 22 990 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
14;Apple Pencil (2. generace);3 490 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
15;24palcový iMac²;Od 37 990 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
16;MacBook Air;Od 29 990 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
17;Magic Mouse;2 290 Kč;cz;Czech Republic;Europe & Central Asia;High income;2022-01-02 21:52:12.701576
0;iPhone 13;Ab 799 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
1;iPhone SE;Ab 479 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
2;iPhone 12;Ab 679 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
3;AirPods(3. Generation);199,00 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
4;AirPods Pro;279,00 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
5;AirPods(2. Generation);149,00 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
6;AirPods Max;612,70 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
7;Apple TV 4K;199,00 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
9;Apple Watch SE;Ab 299 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
10;Apple Watch Series 3;Ab 219 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
11;Sportarmband;49,00 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
12;iPad;Ab 379 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
13;iPad Pro;Ab 879 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
14;Apple Pencil (2. Generation);135,00 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
15;"24"" iMac²";Ab 1.449 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
16;MacBook Air;Ab 1.129 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
17;Magic Mouse;85,00 €;de;Germany;Europe & Central Asia;High income;2022-01-02 21:52:14.030932
0;iPhone 13;Fra 6.255 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
1;iPhone SE;Fra 3.655 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
2;iPhone 12;Fra 5.355 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
3;AirPods(3. generation);1.549 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
4;AirPods Pro;2.199 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
5;AirPods(2. generation);1.129 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
7;Apple TV 4K;1.499 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
8;Apple TV HD;1.299 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
9;Apple Watch SE;Fra 2.299 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
10;Apple Watch Series 3;Fra 1.699 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
11;Sportsrem;369 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
12;iPad;Fra 2.855 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
13;iPad Pro;Fra 6.755 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
14;Apple Pencil (2. generation);1.099 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
15;"24"" iMac²";Fra 11.555 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
16;MacBook Air;Fra 8.755 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
17;Magic Mouse;679 kr.;dk;Denmark;Europe & Central Asia;High income;2022-01-02 21:52:15.114080
0;iPhone 13;Desde 909 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
1;iPhone SE;Desde 489 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
2;iPhone 12;Desde 689 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
3;AirPods(3.ª generación);199,00 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
4;AirPods Pro;279,00 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
5;AirPods(2.ª generación);149,00 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
6;AirPods Max;629,00 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
7;Apple TV 4K;199,00 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
9;Apple Watch SE;Desde 299 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
10;Apple Watch Series 3;Desde 219 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
11;Correa deportiva;49,00 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
12;iPad;Desde 379 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
13;iPad Pro;Desde 879 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
14;Apple Pencil (2.ª generación);135,00 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
15;iMac de 24 pulgadas²;Desde 1.449 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
16;MacBook Air;Desde 1.129 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
17;Magic Mouse;85,00 €;es;Spain;Europe & Central Asia;High income;2022-01-02 21:52:16.456271
0;iPhone 13;Alkaen 829 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
1;iPhone SE;Alkaen 499 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
2;iPhone 12;Alkaen 709 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
3;AirPods(3. sukupolvi);199,00 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
4;AirPods Pro;279,00 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
5;AirPods(2. sukupolvi);149,00 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
7;Apple TV 4K;199,00 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
8;Apple TV HD;159,00 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
9;Apple Watch SE;Alkaen 309 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
10;Apple Watch Series 3;Alkaen 229 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
11;Urheiluranneke;49,00 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
12;iPad;Alkaen 399 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
13;iPad Pro;Alkaen 909 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
14;Apple Pencil (2. sukupolvi);135,00 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
15;24 tuuman iMac²;Alkaen 1.499 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
16;MacBook Air;Alkaen 1.159 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
17;Magic Mouse;85,00 €;fi;Finland;Europe & Central Asia;High income;2022-01-02 21:52:18.126048
0;iPhone 13;À partir de 809 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
1;iPhone SE;À partir de 489 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
2;iPhone 12;À partir de 689 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
3;AirPods(3ᵉ génération);199,00 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
4;AirPods Pro;279,00 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
5;AirPods(2ᵉ génération);149,00 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
6;AirPods Max;629,00 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
7;Apple TV 4K;199,00 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
9;Apple Watch SE;À partir de 299 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
10;Apple Watch Series 3;À partir de 219 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
11;Bracelet Sport;49,00 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
12;iPad;À partir de 389 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
13;iPad Pro;À partir de 899 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
14;Apple Pencil (2ᵉ génération);135,00 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
15;iMac 24 pouces²;À partir de 1.449 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
16;MacBook Air;À partir de 1.129 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
17;Magic Mouse;85,00 €;fr;France;Europe & Central Asia;High income;2022-01-02 21:52:19.284673
0;iPhone 13;Induló ár: 294 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
1;iPhone SE;Induló ár: 174 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
2;iPhone 12;Induló ár: 249 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
3;AirPods(3. generáció);74 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
4;AirPods Pro;99 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
5;AirPods(2. generáció);52 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
7;Apple TV 4K;71 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
8;Apple TV HD;59 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
9;Apple Watch SE;Induló ár: 109 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
10;Apple Watch Series 3;Induló ár: 77 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
11;Sportszíj;17 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
12;iPad;Induló ár: 134 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
13;iPad Pro;Induló ár: 324 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
14;Apple Pencil (második generáció);49 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
15;24 hüvelykes iMac²;Induló ár: 539 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
16;MacBook Air;Induló ár: 429 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
17;Magic Mouse;34 990 Ft;hu;Hungary;Europe & Central Asia;High income;2022-01-02 21:52:20.418188
0;iPhone 13;From ₹69900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
1;iPhone SE;From ₹39900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
2;iPhone 12;From ₹59900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
3;AirPods(3rd generation);₹18500.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
4;AirPods Pro;₹24900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
5;AirPods(2nd generation);₹12900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
6;AirPods Max;₹59900.00‡;in;India;South Asia;Lower middle income;2022-01-02 21:52:21.513688
